trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Interleukin-27 levels	ebi-a-GCST90012017	phenotype	opengwas	EUR	21758	13	interleukin-27 measurement	ebi-a-GCST90010144	TRUE
Interleukin-4 receptor subunit alpha levels	ebi-a-GCST90010145	phenotype	opengwas	EUR	1292	1	blood protein measurement	""	TRUE
Kidney Injury Molecule levels	ebi-a-GCST90010147	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Leptin levels	ebi-a-GCST90010148	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Lipoprotein lipase levels	ebi-a-GCST90010149	phenotype	opengwas	EUR	1301	3	blood protein measurement	""	TRUE
Macrophage receptor MARCO levels	ebi-a-GCST90010150	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
Tyrosine-protein kinase Mer levels	ebi-a-GCST90010151	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Matrix metalloproteinase-12 levels	ebi-a-GCST90012070	phenotype	opengwas	EUR	21758	7	matrix metalloproteinase 12 measurement	ebi-a-GCST90010152	TRUE
Matrix metalloproteinase-7 levels	ebi-a-GCST90012056	phenotype	opengwas	EUR	21758	4	matrix metalloproteinase 7 measurement	ebi-a-GCST90010153	TRUE
NF-kappa-B essential modulator levels	ebi-a-GCST90012079	phenotype	opengwas	EUR	21758	0	NF-kappa-B essential modulator measurement	ebi-a-GCST90010154	FALSE
Pappalysin-1 levels	ebi-a-GCST90012036	phenotype	opengwas	EUR	21758	9	pappalysin‐1 measurement	ebi-a-GCST90010155	TRUE
Proteinase-activated receptor 1 levels	ebi-a-GCST90012010	phenotype	opengwas	EUR	21758	3	proteinase-activated receptor 1 measurement	ebi-a-GCST90010156	TRUE
Poly [ADP-ribose] polymerase 1 levels	ebi-a-GCST90010157	phenotype	opengwas	EUR	823	0	blood protein measurement	""	TRUE
Platelet-derived growth factor subunit B levels	ebi-a-GCST90012016	phenotype	opengwas	EUR	21758	7	platelet-derived growth factor BB measurement	ebi-a-GCST90010158	TRUE
Programmed cell death 1 ligand 2 levels	ebi-a-GCST90010159	phenotype	opengwas	EUR	1301	3	blood protein measurement	""	TRUE
Placenta growth factor levels	ebi-a-GCST90011999	phenotype	opengwas	EUR	21758	2	placenta growth factor measurement	ebi-a-GCST90010160	TRUE
Polymeric immunoglobulin receptor levels	ebi-a-GCST90010161	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Prolargin levels	ebi-a-GCST90010162	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
Serine protease 27 levels	ebi-a-GCST90010163	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
Prostasin levels	ebi-a-GCST90010164	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
P-selectin glycoprotein ligand 1 levels	ebi-a-GCST90012046	phenotype	opengwas	EUR	21758	6	P-selectin glycoprotein ligand 1 measurement	ebi-a-GCST90010165	FALSE
Pentraxin-related protein PTX3 levels	ebi-a-GCST90012037	phenotype	opengwas	EUR	21758	4	pentraxin-related protein PTX3 measurement	ebi-a-GCST90010166	TRUE
Receptor for advanced glycosylation end products levels	ebi-a-GCST90012054	phenotype	opengwas	EUR	21758	9	advanced glycosylation end product-specific receptor ligand measurement	ebi-a-GCST90010167	TRUE
Renin levels	ebi-a-GCST90012038	phenotype	opengwas	EUR	21758	4	renin measurement	ebi-a-GCST90010168	TRUE
Serpin A12 levels	ebi-a-GCST90010170	phenotype	opengwas	EUR	1301	3	blood protein measurement	""	TRUE
SLAM family member 7 levels	ebi-a-GCST90010171	phenotype	opengwas	EUR	1299	1	blood protein measurement	""	TRUE
Superoxide dismutase [Mn],mitochondrial levels	ebi-a-GCST90010172	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Sortilin levels	ebi-a-GCST90010173	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Spondin-2 levels	ebi-a-GCST90010174	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Serine/threonine-protein kinase 4 levels	ebi-a-GCST90010175	phenotype	opengwas	EUR	1095	1	blood protein measurement	""	TRUE
Tissue factor levels	ebi-a-GCST90012014	phenotype	opengwas	EUR	21758	7	tissue factor measurement	ebi-a-GCST90010176	TRUE
Protein-glutamine gamma-glutamyltransferase 2 levels	ebi-a-GCST90010177	phenotype	opengwas	EUR	1291	0	blood protein measurement	""	TRUE
Thrombospondin-2 levels	ebi-a-GCST90010178	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Thrombopoietin levels	ebi-a-GCST90010179	phenotype	opengwas	EUR	1300	1	blood protein measurement	""	TRUE
Angiopoietin-1 receptor levels	ebi-a-GCST90012013	phenotype	opengwas	EUR	21758	10	angiopoietin-1 receptor measurement	ebi-a-GCST90010180	TRUE
Thrombomodulin levels	ebi-a-GCST90012048	phenotype	opengwas	EUR	21758	6	thrombomodulin measurement	ebi-a-GCST90010181	TRUE
Tumor necrosis factor receptor superfamily member 10A levels	ebi-a-GCST90010182	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Tumor necrosis factor receptor superfamily member 11A levels	ebi-a-GCST90010183	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Tumor necrosis factor receptor superfamily member 13B levels	ebi-a-GCST90010184	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
TNF-related apoptosis-inducing ligand receptor 2 levels	ebi-a-GCST90012021	phenotype	opengwas	EUR	21758	4	TNF-related apoptosis-inducing ligand receptor 2 measurement	ebi-a-GCST90010185	TRUE
vascular endothelial growth factor D levels	ebi-a-GCST90012069	phenotype	opengwas	EUR	21758	4	vascular endothelial growth factor D measurement	ebi-a-GCST90010186	TRUE
V-set and immunoglobulin domain-containing protein 2 levels	ebi-a-GCST90010187	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
XCL1 levels	ebi-a-GCST90010188	phenotype	opengwas	EUR	1280	2	blood protein measurement	""	TRUE
CD166 antigen levels	ebi-a-GCST90010189	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Aminopeptidase N levels	ebi-a-GCST90010190	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Tyrosine-protein kinase receptor UFO levels	ebi-a-GCST90010191	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Azurocidin levels	ebi-a-GCST90010192	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Bleomycin hydrolase levels	ebi-a-GCST90010193	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Caspase-3 levels	ebi-a-GCST90010194	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
C-C motif chemokine 15 levels	ebi-a-GCST90010195	phenotype	opengwas	EUR	1323	4	blood protein measurement	""	TRUE
C-C motif chemokine 16 levels	ebi-a-GCST90010196	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
C-C motif chemokine 24 levels	ebi-a-GCST90010197	phenotype	opengwas	EUR	1323	7	blood protein measurement	""	TRUE
Scavenger receptor cysteine-rich type 1 protein M130 levels	ebi-a-GCST90010198	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Complement component C1q receptor levels	ebi-a-GCST90010199	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Cadherin-5 levels	ebi-a-GCST90010200	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Chitinase-3-like protein 1 levels	ebi-a-GCST90012039	phenotype	opengwas	EUR	21758	8	YKL40 measurement	ebi-a-GCST90010201	TRUE
Chitotriosidase-1 levels	ebi-a-GCST90010202	phenotype	opengwas	EUR	1184	2	blood protein measurement	""	TRUE
Contactin-1 levels	ebi-a-GCST90010203	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Collagen alpha-1 (I) chain levels	ebi-a-GCST90010204	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Carboxypeptidase A1 levels	ebi-a-GCST90010205	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Carboxypeptidase B levels	ebi-a-GCST90010206	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Cystatin-B levels	ebi-a-GCST90012006	phenotype	opengwas	EUR	21758	5	cystatin B measurement	ebi-a-GCST90010207	TRUE
Cathepsin D levels	ebi-a-GCST90012053	phenotype	opengwas	EUR	21758	8	cathepsin D measurement	ebi-a-GCST90010208	TRUE
Cathepsin Z levels	ebi-a-GCST90010209	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
C-X-C motif chemokine 16 levels	ebi-a-GCST90012059	phenotype	opengwas	EUR	21758	13	C-X-C motif chemokine 16 measurement	ebi-a-GCST90010210	TRUE
Protein delta homolog 1 levels	ebi-a-GCST90010211	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Epidermal growth factor levels	ebi-a-GCST90012001	phenotype	opengwas	EUR	21758	1	epidermal growth factor measurement	ebi-a-GCST90010212	FALSE
epithelial cell adhesion molecule levels	ebi-a-GCST90010213	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Ephrin type-B receptor 4 levels	ebi-a-GCST90010214	phenotype	opengwas	EUR	1322	0	blood protein measurement	""	TRUE
Tumor necrosis factor receptor superfamily member 6 levels	ebi-a-GCST90012035	phenotype	opengwas	EUR	21758	4	tumor necrosis factor receptor superfamily member 6 measurement	ebi-a-GCST90010216	TRUE
Galectin-3 levels	ebi-a-GCST90012009	phenotype	opengwas	EUR	21758	9	galectin-3 measurement	ebi-a-GCST90010217	TRUE
Galectin-4 levels	ebi-a-GCST90010218	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Granulins levels	ebi-a-GCST90010219	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Intercellular adhesion molecule 2 levels	ebi-a-GCST90010220	phenotype	opengwas	EUR	1323	3	blood protein measurement	""	TRUE
Insulin-like growth factor-binding protein 1 levels	ebi-a-GCST90010221	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Insulin-like growth factor-binding protein 2 levels	ebi-a-GCST90010222	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Insulin-like growth factor-binding protein 7 levels	ebi-a-GCST90010223	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Interleukin-17 receptor A levels	ebi-a-GCST90010224	phenotype	opengwas	EUR	1323	4	blood protein measurement	""	TRUE
Interleukin-18-binding protein levels	ebi-a-GCST90010225	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Interleukin-1 receptor type 1 levels	ebi-a-GCST90010226	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Interleukin-1 receptor type 2 levels	ebi-a-GCST90010227	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Interleukin-2 receptor subunit alpha levels	ebi-a-GCST90010228	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Interleukin-6 receptor subunit alpha levels	ebi-a-GCST90012025	phenotype	opengwas	EUR	21758	7	interleukin 6 receptor subunit alpha measurement	ebi-a-GCST90010229	TRUE
Integrin beta-2 levels	ebi-a-GCST90010230	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Junctional adhesion molecule A levels	ebi-a-GCST90010231	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Kallikrein-6 levels	ebi-a-GCST90012008	phenotype	opengwas	EUR	21758	2	kallikrein‐6 measurement	ebi-a-GCST90010232	TRUE
Low-density lipoprotein receptor levels	ebi-a-GCST90010233	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Lymphotoxin-beta receptor levels	ebi-a-GCST90010234	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Myoglobin levels	ebi-a-GCST90012047	phenotype	opengwas	EUR	21758	2	myoglobin measurement	ebi-a-GCST90010235	TRUE
Matrix extracellular phosphoglycoprotein levels	ebi-a-GCST90010237	phenotype	opengwas	EUR	974	1	blood protein measurement	""	TRUE
Matrix metalloproteinase-2 levels	ebi-a-GCST90010238	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Matrix metalloproteinase-3 levels	ebi-a-GCST90012027	phenotype	opengwas	EUR	21758	7	matrix metalloproteinase measurement	ebi-a-GCST90010239	TRUE
Matrix metalloproteinase-9 levels	ebi-a-GCST90010240	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Myeloperoxidase levels	ebi-a-GCST90012031	phenotype	opengwas	EUR	21758	10	myeloperoxidase measurement	ebi-a-GCST90010241	TRUE
Neurogenic locus notch homolog protein 3 levels	ebi-a-GCST90010242	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Osteopontin levels	ebi-a-GCST90010244	phenotype	opengwas	EUR	1322	1	blood protein measurement	""	TRUE
Plasminogen activator inhibitor-1 (PAI-1) levels	ebi-a-GCST90010245	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Proprotein convertase subtilisin/kexin type 9 levels	ebi-a-GCST90010246	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Platelet-derived growth factor subunit A levels	ebi-a-GCST90010247	phenotype	opengwas	EUR	1323	3	blood protein measurement	""	TRUE
Platelet endothelial cell adhesion molecule levels	ebi-a-GCST90012081	phenotype	opengwas	EUR	21758	4	platelet endothelial cell adhesion molecule measurement	ebi-a-GCST90010248	TRUE
Peptidoglycan recognition protein 1 levels	ebi-a-GCST90010249	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Elafin levels	ebi-a-GCST90010250	phenotype	opengwas	EUR	1322	0	blood protein measurement	""	TRUE
Perlecan levels	ebi-a-GCST90010251	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Paraoxonase activity	ebi-a-GCST90010252	phenotype	opengwas	EUR	1322	5	blood protein measurement	""	TRUE
Myeloblastin levels	ebi-a-GCST90010253	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Pulmonary surfactant-associated protein D levels	ebi-a-GCST90010254	phenotype	opengwas	EUR	1316	3	blood protein measurement	""	TRUE
Retinoic acid receptor responder protein 2 levels	ebi-a-GCST90010255	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Resistin levels	ebi-a-GCST90012034	phenotype	opengwas	EUR	21758	13	resistin measurement	ebi-a-GCST90010256	TRUE
Secretoglobin family 3A member 2 levels	ebi-a-GCST90010257	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
E-selectin levels	ebi-a-GCST90012000	phenotype	opengwas	EUR	21758	10	e-selectin measurement	ebi-a-GCST90010258	TRUE
P-selectin levels	ebi-a-GCST90010259	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Tyrosine-protein phosphatase non-receptor type substrate 1 levels	ebi-a-GCST90010260	phenotype	opengwas	EUR	1323	5	blood protein measurement	""	TRUE
Spondin-1 levels	ebi-a-GCST90012071	phenotype	opengwas	EUR	21758	2	spondin-1 measurement	ebi-a-GCST90010261	TRUE
ST2 protein levels	ebi-a-GCST90012040	phenotype	opengwas	EUR	21758	9	ST2 protein measurement	ebi-a-GCST90010262	TRUE
Tissue factor pathway inhibitor levels	ebi-a-GCST90010263	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Metalloproteinase inhibitor 4 levels	ebi-a-GCST90010264	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Trem-like transcript 2 protein levels	ebi-a-GCST90010265	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Tumor necrosis factor receptor 1 levels	ebi-a-GCST90012015	phenotype	opengwas	EUR	21758	4	tumor necrosis factor receptor 1 measurement	ebi-a-GCST90010266	TRUE
Tumor necrosis factor receptor 2 levels	ebi-a-GCST90012026	phenotype	opengwas	EUR	21758	7	tumor necrosis factor receptor II measurement	ebi-a-GCST90010267	TRUE
Tumor necrosis factor receptor superfamily member 10C levels	ebi-a-GCST90010268	phenotype	opengwas	EUR	1323	3	blood protein measurement	""	TRUE
Tumor necrosis factor receptor superfamily member 14 levels	ebi-a-GCST90010269	phenotype	opengwas	EUR	1323	0	blood protein measurement	""	TRUE
Tumor necrosis factor ligand superfamily member 13B levels	ebi-a-GCST90010270	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Tissue-type plasminogen activator levels	ebi-a-GCST90012066	phenotype	opengwas	EUR	21758	2	tissue plasminogen activator measurement	ebi-a-GCST90010271	TRUE
Transferrin receptor protein 1 levels	ebi-a-GCST90010272	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Tartrate-resistant acid phosphatase type 5 levels	ebi-a-GCST90010273	phenotype	opengwas	EUR	1323	2	blood protein measurement	""	TRUE
Urokinase plasminogen activator surface receptor levels	ebi-a-GCST90012051	phenotype	opengwas	EUR	21758	7	urokinase plasminogen activator surface receptor measurement	ebi-a-GCST90010275	TRUE
vWF levels	ebi-a-GCST90010276	phenotype	opengwas	EUR	1323	1	blood protein measurement	""	TRUE
Lysophosphatidic acid phosphatase type 6 levels	ebi-a-GCST90010277	phenotype	opengwas	EUR	1311	8	blood protein measurement	""	TRUE
Adhesion G protein-coupled receptor E2 levels	ebi-a-GCST90010278	phenotype	opengwas	EUR	1313	2	blood protein measurement	""	TRUE
Adhesion G-protein coupled receptor G2 levels	ebi-a-GCST90010279	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Retinal dehydrogenase 1 levels	ebi-a-GCST90010280	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Angiopoietin-2 levels	ebi-a-GCST90010281	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Angiopoietin-related protein 1 levels	ebi-a-GCST90010282	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Angiopoietin-related protein 7 levels	ebi-a-GCST90010283	phenotype	opengwas	EUR	1306	0	blood protein measurement	""	TRUE
DNA-(apurinic or apyrimidinic site) lyase levels	ebi-a-GCST90010284	phenotype	opengwas	EUR	1187	1	blood protein measurement	""	TRUE
Amyloid-like protein 1 levels	ebi-a-GCST90010285	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Arginase-1 levels	ebi-a-GCST90010286	phenotype	opengwas	EUR	1072	0	blood protein measurement	""	TRUE
Large proline-rich protein BAG6 levels	ebi-a-GCST90010287	phenotype	opengwas	EUR	1313	2	blood protein measurement	""	TRUE
Carbonic anhydrase 13 levels	ebi-a-GCST90010288	phenotype	opengwas	EUR	1248	0	blood protein measurement	""	TRUE
Soluble calcium-activated nucleotidase 1 levels	ebi-a-GCST90010289	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Coiled-coil domain-containing protein 80 levels	ebi-a-GCST90010290	phenotype	opengwas	EUR	1309	1	blood protein measurement	""	TRUE
Sialomucin core protein 24 levels	ebi-a-GCST90010291	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
T-cell surface glycoprotein CD1c levels	ebi-a-GCST90010292	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
CD2-associated protein levels	ebi-a-GCST90010293	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
B-cell antigen receptor complex-associated protein beta chain levels	ebi-a-GCST90010294	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Cadherin-2 levels	ebi-a-GCST90010295	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Cadherin-related family member 5 levels	ebi-a-GCST90010296	phenotype	opengwas	EUR	1313	5	blood protein measurement	""	TRUE
Chordin-like protein 2 levels	ebi-a-GCST90010297	phenotype	opengwas	EUR	1279	1	blood protein measurement	""	TRUE
C-type lectin domain family 5 member A levels	ebi-a-GCST90010298	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
CXADR-like membrane protein levels	ebi-a-GCST90010299	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
Calsyntenin-2 levels	ebi-a-GCST90010300	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
Clusterin-like protein 1 levels	ebi-a-GCST90010301	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
Catechol O-methyltransferase levels	ebi-a-GCST90010302	phenotype	opengwas	EUR	1239	1	blood protein measurement	""	TRUE
Crk-like protein levels	ebi-a-GCST90010303	phenotype	opengwas	EUR	1105	0	blood protein measurement	""	TRUE
Pro-cathepsin H levels	ebi-a-GCST90010304	phenotype	opengwas	EUR	1278	4	blood protein measurement	""	TRUE
Cathepsin O levels	ebi-a-GCST90010305	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Aromatic-L-amino-acid decarboxylase levels	ebi-a-GCST90010306	phenotype	opengwas	EUR	180	1	blood protein measurement	""	TRUE
Dipeptidyl peptidase 2 levels	ebi-a-GCST90010307	phenotype	opengwas	EUR	1290	1	blood protein measurement	""	TRUE
Gamma-enolase levels	ebi-a-GCST90010308	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 levels	ebi-a-GCST90010309	phenotype	opengwas	EUR	1313	2	blood protein measurement	""	TRUE
Ectonucleoside triphosphate diphosphohydrolase 5 levels	ebi-a-GCST90010310	phenotype	opengwas	EUR	1313	5	blood protein measurement	""	TRUE
Protein FAM3C levels	ebi-a-GCST90010311	phenotype	opengwas	EUR	1313	0	blood protein measurement	""	TRUE
Fructose-1,6-bisphosphatase 1 levels	ebi-a-GCST90010312	phenotype	opengwas	EUR	1174	0	blood protein measurement	""	TRUE
Fc receptor-like protein 1 levels	ebi-a-GCST90010313	phenotype	opengwas	EUR	1313	1	blood protein measurement	""	TRUE
Peptidyl-prolyl cis-trans isomerase FKBP4 levels	ebi-a-GCST90010314	phenotype	opengwas	EUR	1120	1	blood protein measurement	""	TRUE
Galanin peptide levels	ebi-a-GCST90012062	phenotype	opengwas	EUR	21758	5	galanin peptides measurement	ebi-a-GCST90010315	TRUE
