"id","trait","note"
"UKB-b-11666","Operative procedures - main OPCS: Q07.4 Total abdominal hysterectomy NEC","41200#Q074: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11670","Treatment/medication code: tramadol","20003#1140864992: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11675","Diagnoses - secondary ICD10: K66.0 Peritoneal adhesions","41204#K660: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11679","Type of special diet followed: Vegetarian","20086#11: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11680","Diagnoses - main ICD10: T84.8 Other complications of internal orthopaedic prosthetic devices, implants and grafts","41202#T848: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11689","Treatment/medication code: salbutamol 100micrograms spacehaler","20003#1140926606: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11709","Diagnoses - secondary ICD10: Z85.4 Personal history of malignant neoplasm of genital organs","41204#Z854: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11736","Non-cancer illness code, self-reported: meniere's disease","20002#1421: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11740","Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication","6177#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11748","Diagnoses - main ICD10: I47.1 Supraventricular tachycardia","41202#I471: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11751","Non-cancer illness code, self-reported: peritonitis","20002#1190: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1176","Diagnoses - secondary ICD10: F10.0 Acute intoxication","41204#F100: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11771","Diagnoses - main ICD10: K08.3 Retained dental root","41202#K083: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11780","Operative procedures - secondary OPCS: Q18.9 Unspecified diagnostic endoscopic examination of uterus","41210#Q189: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11862","Treatment/medication code: beconase 50micrograms nasal spray","20003#1140876136: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11866","6mm index of best keratometry results (right)","5251: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11867","Treatment/medication code: tamsulosin","20003#1140926934: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11874","Diagnoses - secondary ICD10: M06.99 Rheumatoid arthritis, unspecified (Site unspecified)","41204#M0699: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11878","Treatment/medication code: losartan","20003#1140916356: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11886","Treatment/medication code: calcium salts","20003#1140870788: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11895","Treatment/medication code: ramipril","20003#1140860806: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1190","Operative procedures - main OPCS: Q01.3 Excision of lesion of cervix uteri","41200#Q013: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11908","Diagnoses - main ICD10: L03.1 Cellulitis of other parts of limb","41202#L031: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11926","Average daytime sound level of noise pollution","24020: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11971","Pulse wave Arterial Stiffness index","21021: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11972","Diagnoses - secondary ICD10: R53 Malaise and fatigue","41204#R53: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-12014","Medication for cholesterol, blood pressure or diabetes: None of the above","6177#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-12018","Illnesses of mother: Chronic bronchitis/emphysema","20110#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-12019","Peak expiratory flow (PEF)","3064: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
